OTD: Adipose	Artery	Heart	Lung	Muscle	Nerve	Skin	Thyroid	WholeBlood
eQTL: Adipose	0.086	0.072	-0.018	0.034	0.017	0.07	0.025	-0.055	-0.135
Artery	0.074	0.109	-0.016	0.033	0.032	0.065	0.025	-0.047	-0.145
Heart	0.026	0.043	0.057	0.009	0.1	0.04	0	-0.041	-0.118
Lung	0.048	0.04	-0.037	0.095	-0.001	0.045	0.011	-0.037	-0.096
Muscle	0.028	0.036	0.041	-0.011	0.121	0.027	0.01	-0.035	-0.094
Nerve	0.078	0.074	-0.024	0.038	0.01	0.104	0.029	-0.045	-0.142
Skin	0.038	0.042	-0.044	0.02	0.001	0.046	0.084	-0.049	-0.116
Thyroid	0.043	0.051	-0.032	0.05	-0.001	0.054	0.001	0.086	-0.168
WholeBlood	-0.023	-0.035	-0.028	0.025	-0.01	0.002	0.01	-0.07	0.163
